"Id,""Username"",""Email"",""Password"",""Score"",""Creation"",""Token"",""TokenCreation"""
"1,""test"",""test@test.test"",""test"",""0"",""2025-02-17 15:58:47"",NULL,NULL"
"2,""random"",""random@random.random"",""random"",""0"",""2025-02-17 15:58:55"",NULL,NULL"
"3,""user_01"",""-"",""-"",""5"",""2025-02-17 17:39:33"",NULL,NULL"
"4,""user_02"",""-"",""-"",""8"",""2025-02-17 17:39:44"",NULL,NULL"
"5,""user_03"",""-"",""-"",""4"",""2025-02-17 17:39:53"",NULL,NULL"
"6,""John"",""john@example.com"",,""0"",""2025-02-17 18:39:27"",NULL,NULL"
"7,""John"",""john@example.comm"",""asd"",""0"",""2025-02-17 18:41:01"",NULL,NULL"
"8,""DFG"",""admin@admin.admin"",""admin"",""0"",""2025-02-17 18:58:08"",NULL,NULL"
"9,""asd"",""asd@asd.asd"",""asd"",""0"",""2025-02-17 19:03:56"",NULL,NULL"
"10,""qwe"",""qwe@qwe.qwe"",""$2y$12$V5k8kEDp3GtVa9aNX8nI6uLnmCu15jn83W59eZ6LUSyIOPLXqZXDS"",""0"",""2025-02-17 19:10:12"",""51bb06b0f91d0c79c72faaa0585aaefceaa11d5135e787232b27a3350a6a1f8f"",""2025-02-18 07:30:49"""
"11,""ert"",""ert@ert.ert"",""$2y$12$K2PoAhCjpYvBmFMpWE9HIut3fTf5OhXVGBsKdfCnTIlO9ejgFbCCS"",""0"",""2025-02-17 19:12:46"",NULL,NULL"
